run_id,run_name,state,pretrained_model,tm_weight,model_type,max_context_utterances,batch_size,num_epochs,learning_rate,val_f1,val_accuracy,val_loss,train_loss,top_k_acc_3,val_cumulative70_pred_accuracy_plus_true,mean_js_divergence,epoch,class_macro_avg_f1,class_weighted_avg_f1
os8txuzi,380_full_categories_gbert_large_phase_full_transition_loss_ctx_4_model_type_bert_tm_weight_0.0_v5_fold2,finished,gbert_large,0.0,bert,,,,,0.1532730105461817,0.17170111287758347,3.830923883120219,1.3565372488715433,0.32326444091149975,0.7678855325914149,0.28372348088581234,10.0,0.09519073242235197,0.1532730105461817
63ma5e0a,380_full_categories_gbert_base_phase_label_smoothing_ls_0.2_model_type_history_v5_fold0,finished,gbert_base,0.0,history,,,,,0.11940234253500911,0.1585198720877113,3.3860542433602467,2.51024139881134,0.32983097304705344,0.8200091365920512,0.2141168438889709,10.0,0.07172899300078929,0.11940234253500911
st0m9txv,380_full_categories_Eurobert_210m_phase_label_smoothing_ls_0.1_model_type_history_v4_fold3,finished,Eurobert_210m,0.0,history,,,,,0.023846672182319686,0.09703075291622482,3.5306480964024862,3.4968042547052556,0.24284199363732767,0.7518557794273595,0.18789167998149756,8.0,0.018723990139110448,0.03250893421181842
rmv3ip09,380_full_categories_Eurobert_210m_phase_label_smoothing_ls_0.2_model_type_history_v5_fold3,finished,Eurobert_210m,0.0,history,,,,,0.014906065995188796,0.09013785790031811,3.646387497584025,3.67501449584961,0.2295864262990456,0.7688229056203606,0.183625709662861,4.0,0.009870294594014744,0.023194620249360535
3vjuc2ov,380_full_categories_gbert_large_phase_full_transition_loss_ctx_1_model_type_bert_tm_weight_1.0_v28_fold0,finished,gbert_large,1.0,bert,,,,,0.14658776538272936,0.1658291457286432,3.819757740838187,2.4053566551208494,0.3293741434444952,0.9693924166285977,0.08846464731436578,10.0,0.08512521210124854,0.15467468583017005
4sz6fgfu,380_full_categories_Eurobert_610m_phase_full_transition_loss_ctx_4_model_type_bert_tm_weight_1.5_v37_fold0,finished,Eurobert_610m,1.5,bert,,,,,0.15324027078736427,0.18090452261306533,3.863136897768293,1.7545397543907166,0.3430790315212426,0.9744175422567384,0.05359176627290427,9.0,0.09943748960655634,0.15754304890701068
4v4hdc0a,380_full_categories_Eurobert_210m_phase_label_smoothing_ls_0.1_model_type_history_v4_fold4,finished,Eurobert_210m,0.0,history,,,,,0.121150249205874,0.14198401504466385,3.72872397478889,0.8759512655875262,0.2938410907381288,0.8180535966149506,0.23351541603688017,8.0,0.074118664046706,0.12862919514970314
aro1pgrl,380_full_categories_gbert_large_phase_full_transition_loss_ctx_12_model_type_history_tm_weight_0.2_v11_fold1,finished,gbert_large,0.2,history,,,,,0.16228110979670057,0.17640863612427593,3.915974585215251,1.5761347163807262,0.3417588204318062,0.7877830437072143,0.259817853866967,10.0,0.10030083890553437,0.17162724192205403
piwaj7gg,380_full_categories_gbert_large_phase_full_transition_loss_ctx_8_model_type_bert_tm_weight_0.0_v6_fold2,finished,gbert_large,0.0,bert,,,,,0.1062727826987318,0.14414414414414414,3.705172554651896,2.336697799509222,0.3153153153153153,0.785903550609433,0.24752018740055276,10.0,0.05514773544424148,0.10846406269118238
n264bx09,380_full_categories_gbert_base_phase_full_transition_loss_ctx_1_model_type_history_tm_weight_0.0_v0_fold1,finished,gbert_base,0.0,history,,,,,0.12904532442841504,0.14428646656134808,3.563055650393168,2.123802345449274,0.30858346498156924,0.8767772511848341,0.19597372238026511,10.0,0.07852841277543146,0.1442219074580562
lb8st7rm,380_full_categories_Eurobert_610m_phase_full_transition_loss_ctx_8_model_type_bert_tm_weight_1.5_v38_fold0,finished,Eurobert_610m,1.5,bert,,,,,0.16293051965575586,0.18592964824120603,3.9140847955431255,1.7502451515197754,0.3316582914572864,0.970306075833714,0.05157993958499362,9.0,0.10184969274954087,0.16568558509897113
09elpksa,380_full_categories_gbert_large_phase_full_transition_loss_ctx_8_model_type_history_tm_weight_0.0_v2_fold3,finished,gbert_large,0.0,history,,,,,0.16407972187381906,0.17815482502651114,3.5617817401885987,1.639356424591758,0.35365853658536583,0.7566277836691411,0.286118749054797,10.0,0.10951097195837513,0.18278248762570826
